Date,Time,Open,High,Low,Close,Quantity,Average,Open â€“ Close,Gain,Loss,Avg Gain,Avg Loss,RSI
08-Feb-2019,0,757,772.25,747,760.9,24397205,0,,,,,,
01-Feb-2019,0,731,762.5,716.5,757.05,40570356,0,,,,,,
25-Jan-2019,0,738.2,751,721,730.35,35037791,0,,,,,,
18-Jan-2019,0,707,739,695.95,730.95,61449107,0,,,,,,
11-Jan-2019,0,665,689.8,661.5,683.5,56652573,0,,,,,,
04-Jan-2019,0,660,677,651,661.05,28449923,0,,,,,,
28-Dec-2018,0,657,663.5,637.35,656.95,34628877,0,,,,,,
21-Dec-2018,0,711.85,711.85,643.45,646.2,45602614,0,,,,,,
14-Dec-2018,0,669.9,713.7,660.6,706.05,36250362,0,,,,,,
07-Dec-2018,0,673.15,688.25,664.55,682.8,34859820,0,,,,,,
30-Nov-2018,0,621,674.9,599.85,667.45,68925793,0,,,,,,
22-Nov-2018,0,659,662,612.1,620.75,32395821,0,,,,,,
16-Nov-2018,0,666,676.4,640.5,650.85,32676089,0,,,,,,
09-Nov-2018,0,663.5,679,655.5,659.5,23228050,0,,,,,,
02-Nov-2018,0,633.7,692.95,631.5,662.25,40393163,0,,,,,,
26-Oct-2018,0,688.7,695.05,629.9,633.6,36507315,0,,,,,,
19-Oct-2018,0,688.6,721.8,678,683.55,48592837,0,,,,,,
12-Oct-2018,0,725.05,728.7,661.5,678.8,42797887,0,,,,,,
05-Oct-2018,0,737.5,754.9,702.5,724.6,30761477,0,,,,,,
28-Sep-2018,0,706.5,736,706.5,730.05,46922407,0,,,,,,
21-Sep-2018,0,735,740,692,705.3,32357053,0,,,,,,
14-Sep-2018,0,737.75,747,729.05,733.7,25126563,0,,,,,,
07-Sep-2018,0,724.5,748.5,715,732.8,47114694,0,,,,,,
31-Aug-2018,0,691.5,727.15,690.7,720.55,41540162,0,,,,,,
24-Aug-2018,0,694,703.98,686.75,689.15,39233540,0,,,,,,
17-Aug-2018,0,695,718.83,689.35,715.18,29148248,0,,,,,,
10-Aug-2018,0,683.03,694.73,673.75,692.73,28711860,0,,,,,,
03-Aug-2018,0,685,686.5,667.78,682.05,28940804,0,,,,,,
27-Jul-2018,0,676.08,696.9,668.13,686.73,34640320,0,,,,,,
20-Jul-2018,0,658.7,692.2,643.85,674.05,70249988,0,,,,,,
13-Jul-2018,0,648.5,671.05,639.53,658.7,57287716,0,,,,,,
06-Jul-2018,0,657,678.95,634.05,642.13,46218576,0,,,,,,
29-Jun-2018,0,628.58,657.5,627,653.6,40130242,0,,,,,,
22-Jun-2018,0,642,645.63,618,623.93,31274256,0,,,,,,
15-Jun-2018,0,632.78,645.75,617.05,640.63,46334646,0,,,,,,
08-Jun-2018,0,610.55,631,606,630.03,26155306,0,,,,,,
01-Jun-2018,0,615.5,623.13,602.8,610.4,40170490,0,,,,,,
25-May-2018,0,589.78,624.33,585,614.15,42292574,0,,,,,,
18-May-2018,0,592.18,604,585,591.6,32908330,0,,,,,,
11-May-2018,0,590.63,595,580.53,590.38,20635588,0,,,,,,
04-May-2018,0,590.85,603.98,577.5,586.55,27162318,0,,,,,,
27-Apr-2018,0,584,607.2,572.6,592.6,60916486,0,,,,,,
20-Apr-2018,0,551,596.85,551,589.23,78371638,0,,,,,,
13-Apr-2018,0,562.5,592.95,552.7,585.73,63425918,0,,,,,,
06-Apr-2018,0,570.5,575.65,560,563.5,30664458,0,,,,,,
28-Mar-2018,0,583.45,583.45,563.13,565.9,25291132,0,,,,,,
23-Mar-2018,0,582,590.25,571.18,583.8,42594632,0,,,,,,
16-Mar-2018,0,588,598.5,584.55,585.95,44744058,0,,,,,,
09-Mar-2018,0,580.38,585.4,569.03,581.7,31475584,0,,,,,,
01-Mar-2018,0,575.5,594.75,562.83,580.38,35547902,0,,,,,,
23-Feb-2018,0,564.2,583,551.88,577.83,54741594,0,,,,,,
16-Feb-2018,0,557.4,570.83,545.1,564.03,32513642,0,,,,,,
09-Feb-2018,0,570,577.43,547.58,554.58,41944288,0,,,,,,
02-Feb-2018,0,583.28,598.13,559.28,571.63,51914952,0,,,,,,
25-Jan-2018,0,566.08,610.53,566,587.7,59207642,0,,,,,,
19-Jan-2018,0,540,582.45,532.55,571.73,78643552,0,,,,,,
12-Jan-2018,0,512.45,542.95,510.03,539.23,59803558,0,,,,,,
05-Jan-2018,0,518.85,522.25,503,506,38363730,0,,,,,,
29-Dec-2017,0,515,524.4,511.5,521.03,32814318,0,,,,,,
22-Dec-2017,0,505.95,522.4,499.2,519.68,39306774,0,,,,,,
15-Dec-2017,0,497.48,513.2,496.98,511.45,36229636,0,,,,,,
08-Dec-2017,0,490,503.5,484.28,500.93,48811226,0,,,,,,
01-Dec-2017,0,503.35,503.35,478.53,479.4,35824612,0,,,,,,
24-Nov-2017,0,484.5,509.65,478.63,504.78,47625296,0,,,,,,
17-Nov-2017,0,481.03,497.95,471.63,485.48,41523614,0,,,,,,
10-Nov-2017,0,461.58,482.18,461.33,481.03,35192008,0,,,,,,
03-Nov-2017,0,477.33,477.33,458.48,463.33,36941672,0,,,,,,
27-Oct-2017,0,465,478.85,457.63,473.18,79851772,0,,,,,,
19-Oct-2017,0,467.98,471,461.48,463.48,19707138,0,,,,,,
13-Oct-2017,0,460,469.98,457,465.05,34092256,0,,,,,,
06-Oct-2017,0,455.05,461,448.58,460.08,27124622,0,,,,,,
29-Sep-2017,0,450.5,454.2,444.55,449.95,45698414,0,,,,,,
22-Sep-2017,0,455,458.88,444,449.15,46085260,0,,,,,,
15-Sep-2017,0,445.2,456.63,436.83,454.13,69664690,0,,,,,,
08-Sep-2017,0,460.5,460.55,441.05,442.15,42542144,0,,,,,,
01-Sep-2017,0,471.98,476.98,455,459.98,93687538,0,,,,,,
24-Aug-2017,0,462,462,430,456.08,243314488,0,,,,,,
18-Aug-2017,0,494,514.63,442.1,461.63,200183770,0,,,,,,
11-Aug-2017,0,491.75,498.5,477.53,493.85,31685642,0,,,,,,
04-Aug-2017,0,495.95,510.85,488.03,491.88,41094596,0,,,,,,
28-Jul-2017,0,491.75,502,481.15,498.68,43920094,0,,,,,,
21-Jul-2017,0,487.5,502.4,483.48,490.05,34639202,0,,,,,,
14-Jul-2017,0,472.5,514.45,468.65,486.03,47159348,0,,,,,,
07-Jul-2017,0,470.55,485,466.53,467.7,24089484,0,,,,,,
30-Jun-2017,0,472.5,474,460.5,467.78,32940624,0,,,,,,
23-Jun-2017,0,469.98,484.35,464,471.63,31644380,0,,,,,,
16-Jun-2017,0,471.68,483.98,468,470.13,37444092,0,,,,,,
09-Jun-2017,0,485,494.45,461.5,474.3,45879444,0,,,,,,
02-Jun-2017,0,495.45,500,479.28,484.73,27215816,0,,,,,,
26-May-2017,0,479.2,500,474.8,497.85,30605838,0,,,,,,
19-May-2017,0,481.75,486.95,471.43,478.98,28658084,0,,,,,,
12-May-2017,0,469,483,466,482.13,27930250,0,,,,,,
05-May-2017,0,462,469.83,457.55,465.75,17603168,0,,,,,,
28-Apr-2017,0,458.75,467.78,455.1,459.48,32205132,0,,,,,,
21-Apr-2017,0,465,467.4,456.33,461.85,30059120,0,,,,,,
13-Apr-2017,0,492.45,495,463.33,465.7,55853878,0,,,,,,
07-Apr-2017,0,516.08,516.23,489.5,490.78,23497454,0,,,,,,
31-Mar-2017,0,513.6,520.93,504,511.13,45773840,0,,,,,,
24-Mar-2017,0,513.28,522,507.55,515.7,22673382,0,,,,,,
17-Mar-2017,0,511.4,521.45,503.75,520.15,30463176,0,,,,,,
10-Mar-2017,0,510.03,517.98,499.5,510.93,24141012,0,,,,,,
03-Mar-2017,0,503.65,517.15,500.2,515.6,23901386,0,,,,,,
23-Feb-2017,0,498.25,515.5,493.2,504.43,28415152,0,,,,,,
17-Feb-2017,0,486.43,506.95,481.43,500.05,47989638,0,,,,,,
10-Feb-2017,0,468.63,486,464.28,484.15,46475616,0,,,,,,
03-Feb-2017,0,468.75,475.75,452.18,468.05,67221750,0,,,,,,
27-Jan-2017,0,472.5,479,450.58,471.08,35387818,0,,,,,,
20-Jan-2017,0,482.5,482.73,473,474.35,41865650,0,,,,,,
13-Jan-2017,0,486.13,520,481.35,487.9,77859106,0,,,,,,
06-Jan-2017,0,505.55,506.48,484.03,486.13,38787812,0,,,,,,
30-Dec-2016,0,494,506,487.55,505.3,27111352,0,,,,,,
23-Dec-2016,0,503.05,511,484.75,494.23,33470698,0,,,,,,
16-Dec-2016,0,491.4,509.48,482.6,502.58,29985074,0,,,,,,
09-Dec-2016,0,482.95,504.08,479,494.68,25197712,0,,,,,,
02-Dec-2016,0,489.65,492.35,480.53,482.25,31056954,0,,,,,,
25-Nov-2016,0,463.45,492.5,453.48,488.75,51087504,0,,,,,,
18-Nov-2016,0,462,478.43,454.28,460,33205424,0,,,,,,
11-Nov-2016,0,492.5,493.88,450.5,460.78,36947050,0,,,,,,
04-Nov-2016,0,503.4,503.4,480.5,485.5,22940648,0,,,,,,
30-Oct-2016,0,518.75,521.35,496.58,501.05,25020772,0,,,,,,
21-Oct-2016,0,517.48,525.35,508.68,519.15,25311938,0,,,,,,
14-Oct-2016,0,508.5,541.35,498.13,513.58,48653550,0,,,,,,
07-Oct-2016,0,517.75,525.7,505.05,506.28,21040760,0,,,,,,
30-Sep-2016,0,521.38,524.95,512,518.03,33737158,0,,,,,,
23-Sep-2016,0,523,534.45,520,521.28,23089498,0,,,,,,
16-Sep-2016,0,512.63,532.25,512.63,530.08,26006620,0,,,,,,
09-Sep-2016,0,519.13,529.5,512,517.75,29786726,0,,,,,,
02-Sep-2016,0,508.8,522.88,505.5,515.93,26945952,0,,,,,,
26-Aug-2016,0,509,531.03,504.55,510.13,35467238,0,,,,,,
19-Aug-2016,0,521,529.03,509.23,510.65,37148740,0,,,,,,
12-Aug-2016,0,534.5,547.5,530,531.28,29900662,0,,,,,,
05-Aug-2016,0,535.75,543.93,530,534,32979870,0,,,,,,
29-Jul-2016,0,531.5,548.25,531.5,536.93,42506328,0,,,,,,
22-Jul-2016,0,538.63,545,527.58,536.23,52614904,0,,,,,,
15-Jul-2016,0,583.7,598.03,526,536.28,87039124,0,,,,,,
08-Jul-2016,0,588.1,597.3,576.75,579.1,20484262,0,,,,,,
01-Jul-2016,0,586.03,592.25,577.55,586.2,32037038,0,,,,,,
24-Jun-2016,0,590.5,607.43,580,597.28,25659522,0,,,,,,
17-Jun-2016,0,588.4,596.38,583,589.75,28756668,0,,,,,,
10-Jun-2016,0,632.45,638.5,585.05,590.3,37784318,0,,,,,,
03-Jun-2016,0,620.75,639.65,619.5,633.45,32960204,0,,,,,,
27-May-2016,0,601.7,629.75,588.8,623.75,24245602,0,,,,,,
20-May-2016,0,605.1,612.88,598.95,600.8,20535716,0,,,,,,
13-May-2016,0,591,608.33,590.3,603.63,21288266,0,,,,,,
06-May-2016,0,605,606.1,585.33,590.75,25152290,0,,,,,,
29-Apr-2016,0,606.03,621.18,600.55,604.05,32898664,0,,,,,,
22-Apr-2016,0,625,633.95,603.5,605.63,43673876,0,,,,,,
13-Apr-2016,0,582.9,597.48,575.55,586.35,24122202,0,,,,,,
08-Apr-2016,0,606.78,624,581.03,582.88,24152592,0,,,,,,
01-Apr-2016,0,616.2,618.5,595.78,602.73,47047432,0,,,,,,
23-Mar-2016,0,594,605.35,586,603.9,18569518,0,,,,,,
18-Mar-2016,0,573,599.5,564.48,596.7,31435414,0,,,,,,
11-Mar-2016,0,581.5,595.25,569.1,571.5,42363092,0,,,,,,
04-Mar-2016,0,564.75,596.43,534.15,585.33,31863112,0,,,,,,
26-Feb-2016,0,565.5,571.88,550.55,560.58,20029848,0,,,,,,
19-Feb-2016,0,548.13,567.1,536.85,563.63,22546614,0,,,,,,
12-Feb-2016,0,581.88,586.1,533.5,542.33,30289144,0,,,,,,
05-Feb-2016,0,585,597.48,576.38,587.35,26663364,0,,,,,,
29-Jan-2016,0,570.13,585,562.28,582.45,29571930,0,,,,,,
22-Jan-2016,0,569.95,581.05,558.5,568.13,38254064,0,,,,,,
15-Jan-2016,0,528.15,582,515.43,569.95,63940748,0,,,,,,
08-Jan-2016,0,549.98,551.23,523.95,531.65,22964280,0,,,,,,
01-Jan-2016,0,545,555,541.5,552.63,23776472,0,,,,,,
24-Dec-2015,0,538.5,553.7,532.98,548.18,12541248,0,,,,,,
18-Dec-2015,0,524.75,554.9,524.03,541.58,27922934,0,,,,,,
11-Dec-2015,0,527.65,531.38,511.28,526.4,28034440,0,,,,,,
04-Dec-2015,0,535,549.15,520.05,524.53,44281956,0,,,,,,
27-Nov-2015,0,525,535,518.5,533.18,24938598,0,,,,,,
20-Nov-2015,0,541.83,547,505.63,526.2,38740292,0,,,,,,
13-Nov-2015,0,560,570,545,550.4,15033900,0,,,,,,
06-Nov-2015,0,565,578.8,557.05,569.15,15736720,0,,,,,,
30-Oct-2015,0,577,579.25,565,567.73,23647162,0,,,,,,
23-Oct-2015,0,551,576.5,550.25,574.95,29447264,0,,,,,,
16-Oct-2015,0,599.5,609.9,542.6,547.45,69272000,0,,,,,,
09-Oct-2015,0,586.5,596.28,563.03,583.7,45639140,0,,,,,,
01-Oct-2015,0,569.98,598.88,548.75,586.53,38847920,0,,,,,,
24-Sep-2015,0,550,576.35,546.25,570.28,32135736,0,,,,,,
18-Sep-2015,0,549.5,558.95,541.33,552.23,30904078,0,,,,,,
11-Sep-2015,0,542.48,553.2,526.15,545.38,38035962,0,,,,,,
04-Sep-2015,0,567.43,567.43,533.5,536.98,46069868,0,,,,,,
28-Aug-2015,0,554.98,562.45,522.25,555.53,61908186,0,,,,,,
21-Aug-2015,0,575,593.1,558.75,574.95,33318656,0,,,,,,
14-Aug-2015,0,549,584.35,527.78,574.63,36632626,0,,,,,,
07-Aug-2015,0,539,552.75,525.5,547.8,34039852,0,,,,,,
31-Jul-2015,0,543.45,546,527.13,538.53,42187790,0,,,,,,
24-Jul-2015,0,500.7,574.5,493.7,543.8,67544002,0,,,,,,
17-Jul-2015,0,470.5,502.25,467.03,500.93,22949324,0,,,,,,
10-Jul-2015,0,492.5,495,466.33,468.75,30826492,0,,,,,,
03-Jul-2015,0,493.5,502.5,490,495.15,25486924,0,,,,,,
26-Jun-2015,0,502.45,514.38,493.83,502.63,32174428,0,,,,,,
19-Jun-2015,0,488.48,510.5,484,497.68,27016822,0,,,,,,
12-Jun-2015,0,505,511.19,488.88,493.76,39171016,0,,,,,,
05-Jun-2015,0,508.2,516,501.25,502.91,29509080,0,,,,,,
29-May-2015,0,512.63,514.14,488.75,505.79,47069140,0,,,,,,
22-May-2015,0,492.5,515.48,490.4,511.61,39572376,0,,,,,,
15-May-2015,0,491.25,500,477,490.44,31592676,0,,,,,,
08-May-2015,0,489.88,500.93,477.5,489.49,45836176,0,,,,,,
30-Apr-2015,0,500,500.5,483.08,485.56,51639456,0,,,,,,
24-Apr-2015,0,544,545,495,498.8,89515268,0,,,,,,
17-Apr-2015,0,559.5,561.25,538.36,544.81,26568248,0,,,,,,
10-Apr-2015,0,544.75,559.5,534.5,558.49,44174920,0,,,,,,
01-Apr-2015,0,551.4,568.41,539.43,543.49,19377988,0,,,,,,
27-Mar-2015,0,563.25,568.75,533,550.54,43801260,0,,,,,,
20-Mar-2015,0,552.64,570.5,552.64,564.36,30586144,0,,,,,,
13-Mar-2015,0,564.75,564.75,540.05,555.1,32963796,0,,,,,,
05-Mar-2015,0,575.75,578.48,558.34,561.9,22006688,0,,,,,,
28-Feb-2015,0,575,583.7,561.35,574.11,35017324,0,,,,,,
20-Feb-2015,0,570.08,584,564.54,570.78,31503292,0,,,,,,
13-Feb-2015,0,550,581.68,550,574.03,32795812,0,,,,,,
06-Feb-2015,0,535.38,561.95,525.5,557.63,38458176,0,,,,,,
30-Jan-2015,0,555.25,555.25,531.74,535.48,53077492,0,,,,,,
23-Jan-2015,0,530,556.25,523.65,553.76,38831880,0,,,,,,
16-Jan-2015,0,523,540,518.75,529.58,46514796,0,,,,,,
09-Jan-2015,0,502.48,527.25,478.26,518.61,85282504,0,,,,,,
02-Jan-2015,0,489.01,504.76,487.5,503.3,23183120,0,,,,,,
26-Dec-2014,0,501.5,505.48,478.76,488.06,48270292,0,,,,,,
19-Dec-2014,0,476.24,502,474.08,499.66,82855428,0,,,,,,
12-Dec-2014,0,502.25,504.75,478.75,484.66,207034012,0,,,,,,
05-Dec-2014,0,548.38,550.28,514.95,517.58,58529888,0,,,,,,
28-Nov-2014,0,525,549.75,523.99,544.98,65601112,0,,,,,,
21-Nov-2014,0,523.13,529.06,512.7,518.27,31737624,0,,,,,,
14-Nov-2014,0,521.88,526.43,512.14,523.96,27432008,0,,,,,,
07-Nov-2014,0,509.61,522.88,504.06,520.83,28789888,0,,,,,,
31-Oct-2014,0,481.25,508.25,470.63,506.41,43579464,0,,,,,,
23-Oct-2014,0,481.63,482.82,463.75,475.63,39787848,0,,,,,,
17-Oct-2014,0,486.16,498.13,479.64,481.46,42794904,0,,,,,,
10-Oct-2014,0,471.16,488.5,446.59,486.08,98717024,0,,,,,,
01-Oct-2014,0,462.63,482.49,460.14,480.91,21394376,0,,,,,,
26-Sep-2014,0,460,465.03,449.44,460.02,60979256,0,,,,,,
19-Sep-2014,0,458.13,473.49,452.95,462.76,41779616,0,,,,,,
12-Sep-2014,0,466.59,473.81,453.83,458.74,24835432,0,,,,,,
05-Sep-2014,0,451.26,474.38,444.44,466.34,31791360,0,,,,,,
28-Aug-2014,0,449.88,456.25,445.26,449.85,23209656,0,,,,,,
22-Aug-2014,0,451.5,451.5,441.25,450.13,26294856,0,,,,,,
14-Aug-2014,0,440.5,453.46,438.75,451.57,27249448,0,,,,,,
08-Aug-2014,0,419.38,451.04,418.66,435.33,53642344,0,,,,,,
01-Aug-2014,0,418.13,424.36,415.11,417.66,30600344,0,,,,,,
25-Jul-2014,0,406.88,424.88,398.51,419.03,38905896,0,,,,,,
18-Jul-2014,0,414.38,418.24,398.23,406.44,26005928,0,,,,,,
11-Jul-2014,0,408.13,429,406.33,415.83,58541520,0,,,,,,
04-Jul-2014,0,402.5,407.88,398.81,405.74,31330600,0,,,,,,
27-Jun-2014,0,412.5,413.62,396.09,402.93,37666952,0,,,,,,
20-Jun-2014,0,398.25,417.43,397.5,414.58,49412704,0,,,,,,
13-Jun-2014,0,375.75,412.13,372.01,398.38,72993824,0,,,,,,
06-Jun-2014,0,370.06,383.55,368.75,375.38,47598944,0,,,,,,
30-May-2014,0,383.88,398.5,360,367.43,85500936,0,,,,,,
23-May-2014,0,399.75,399.75,375.01,383.69,51736680,0,,,,,,
16-May-2014,0,389.78,417.5,382.38,397.19,42126840,0,,,,,,
09-May-2014,0,399,404.13,380.81,388.93,39700176,0,,,,,,
02-May-2014,0,396.13,405.88,395.63,402.46,23384272,0,,,,,,
25-Apr-2014,0,401.25,402.5,392.8,396.95,30726144,0,,,,,,
17-Apr-2014,0,416.53,423.5,393.44,399.01,42372600,0,,,,,,
11-Apr-2014,0,412.25,414.31,395.63,404.39,57703800,0,,,,,,
04-Apr-2014,0,410.66,419.5,403.76,414.51,32075480,0,,,,,,
28-Mar-2014,0,409.03,414.81,401.99,407.83,44913168,0,,,,,,
22-Mar-2014,0,425,426.49,404.84,412.01,48398864,0,,,,,,
14-Mar-2014,0,466.21,466.21,416.88,424.27,67455272,0,,,,,,
07-Mar-2014,0,478.13,481.24,463.54,467.54,40384648,0,,,,,,
28-Feb-2014,0,468.25,479.64,466.25,478.11,29648784,0,,,,,,
21-Feb-2014,0,460.63,470.25,455.88,468.84,39947296,0,,,,,,
14-Feb-2014,0,447.49,458,444.69,455.54,25642216,0,,,,,,
07-Feb-2014,0,460.63,461.5,442.63,445.82,26547576,0,,,,,,
31-Jan-2014,0,465,470.49,456.71,462.64,42863232,0,,,,,,
24-Jan-2014,0,464,474.88,463.06,469.77,43418096,0,,,,,,
17-Jan-2014,0,447.75,470.58,447.75,466.22,84952016,0,,,,,,
10-Jan-2014,0,446.89,447.56,427.23,443.91,70651392,0,,,,,,
03-Jan-2014,0,445.96,446.88,431.78,445.64,31384016,0,,,,,,
27-Dec-2013,0,437.5,446.5,432.57,445.16,30207808,0,,,,,,
20-Dec-2013,0,422.5,446.63,419.23,443.92,46031904,0,,,,,,
13-Dec-2013,0,420.63,423.73,415.13,421.73,41295344,0,,,,,,
06-Dec-2013,0,419,424.88,414.78,415.73,33017656,0,,,,,,
29-Nov-2013,0,419,422.35,408.13,419.32,32719544,0,,,,,,
22-Nov-2013,0,423.88,431,414.14,418.45,30824784,0,,,,,,
14-Nov-2013,0,418.75,424.75,414.51,419.28,23286424,0,,,,,,
08-Nov-2013,0,406.5,424.99,404.13,420.01,24833720,0,,,,,,
03-Nov-2013,0,414.65,420.62,408.68,409.93,30462192,0,,,,,,
25-Oct-2013,0,416.63,422.21,408.14,416.44,35645616,0,,,,,,
18-Oct-2013,0,407,420.88,407,414.32,43910816,0,,,,,,
11-Oct-2013,0,376.88,417.25,375.8,409.31,103875336,0,,,,,,
04-Oct-2013,0,377.53,381.88,374.69,377.05,36028928,0,,,,,,
27-Sep-2013,0,375.63,381.38,373.88,375.83,45103416,0,,,,,,
20-Sep-2013,0,378.13,382.24,372.51,374.39,45118800,0,,,,,,
13-Sep-2013,0,379,398.5,376.66,378.51,47237640,0,,,,,,
06-Sep-2013,0,384.64,392.49,374.39,378.63,43294752,0,,,,,,
30-Aug-2013,0,377.49,391.25,376.06,388.23,61191640,0,,,,,,
23-Aug-2013,0,373.76,379.56,365.26,375.09,39612648,0,,,,,,
16-Aug-2013,0,372,386.86,370.96,372.3,39227512,0,,,,,,
08-Aug-2013,0,374.85,378.13,367.5,370.57,30803592,0,,,,,,
02-Aug-2013,0,363.75,377.5,363.75,376.1,43159416,0,,,,,,
26-Jul-2013,0,352.78,369.13,352.75,364.16,31872224,0,,,,,,
19-Jul-2013,0,348.13,358.13,335.13,355.93,55232360,0,,,,,,
12-Jul-2013,0,310.63,363.2,307.56,350.53,89469952,0,,,,,,
05-Jul-2013,0,308.63,310.44,299.08,307.03,24217912,0,,,,,,
28-Jun-2013,0,300.31,313.47,293.13,312.36,41072760,0,,,,,,
21-Jun-2013,0,301.43,307.5,292.84,302.34,25806536,0,,,,,,
14-Jun-2013,0,307.5,314.31,296.88,299.37,25912424,0,,,,,,
07-Jun-2013,0,315.63,328.13,301.99,305.85,64135992,0,,,,,,
31-May-2013,0,292.65,304.36,289.56,301.46,37563584,0,,,,,,
24-May-2013,0,293.25,304.13,291.75,293.49,29453320,0,,,,,,
17-May-2013,0,294.38,296.59,289.16,293.97,31816088,0,,,,,,
11-May-2013,0,289.38,298.13,289.38,295.24,29563456,0,,,,,,
03-May-2013,0,275.75,290.5,273.25,288.49,36299776,0,,,,,,
26-Apr-2013,0,286.45,286.63,275.31,276.5,48163176,0,,,,,,
18-Apr-2013,0,286.25,294.63,275.5,286.96,109235224,0,,,,,,
12-Apr-2013,0,356.25,366.95,283.59,287.08,136155048,0,,,,,,
05-Apr-2013,0,363.84,374.94,356.25,358.23,37371320,0,,,,,,
28-Mar-2013,0,355.65,362.12,354.08,361.17,20800488,0,,,,,,
22-Mar-2013,0,358.28,361.81,353.44,357.9,44727976,0,,,,,,
15-Mar-2013,0,372.73,373.75,355.36,359.78,36903464,0,,,,,,
08-Mar-2013,0,365.75,376.23,359.02,371.28,49364000,0,,,,,,
01-Mar-2013,0,358.75,371.18,358.45,364.23,49883688,0,,,,,,
22-Feb-2013,0,347.88,356.88,345.38,355.07,27205632,0,,,,,,
15-Feb-2013,0,350.16,353.5,342.72,348.58,30248328,0,,,,,,
08-Feb-2013,0,347.63,352.09,343.13,348.68,38950640,0,,,,,,
01-Feb-2013,0,351.5,353.45,344,346.37,45105808,0,,,,,,
25-Jan-2013,0,345.38,353.5,345.38,351.83,38122384,0,,,,,,
18-Jan-2013,0,344.98,354.62,344.03,348.51,102021128,0,,,,,,
11-Jan-2013,0,293.89,340.25,288.65,339.01,131532600,0,,,,,,
04-Jan-2013,0,289.38,294.37,287.94,293.69,29815056,0,,,,,,
28-Dec-2012,0,290.14,291.36,284.58,290.4,22762040,0,,,,,,
21-Dec-2012,0,283.38,290.16,280.63,287.11,44611280,0,,,,,,
14-Dec-2012,0,290.12,293,283.25,284.85,52049136,0,,,,,,
07-Dec-2012,0,304.63,306.63,288.89,290.14,44206136,0,,,,,,
30-Nov-2012,0,298.84,310,298.84,304.61,26921168,0,,,,,,
23-Nov-2012,0,293,299.88,289.1,297.19,25771288,0,,,,,,
16-Nov-2012,0,294.38,298.38,284.85,292.92,27085600,0,,,,,,
09-Nov-2012,0,297.89,301.75,293.13,293.59,27638312,0,,,,,,
02-Nov-2012,0,290.13,300.58,288.41,298.51,31042432,0,,,,,,
26-Oct-2012,0,296.03,299.75,290.13,291.2,23987072,0,,,,,,
19-Oct-2012,0,298.21,301.5,293.14,297.92,48909264,0,,,,,,
12-Oct-2012,0,315.6,322.51,288.88,299.42,94762040,0,,,,,,
05-Oct-2012,0,318.91,327.53,257.57,315.86,35446192,0,,,,,,
28-Sep-2012,0,325,326.38,315.78,316.87,49701792,0,,,,,,
